True,sitting,sitting_phone_talking,standing_free,standing_phone_talking,walking_cart,walking_fast,walking_phone,walking_phone_talking,walking_slow,wandering,window_shopping,All
sitting,13,0,0,0,3,0,1,0,0,0,0,17
sitting_phone_talking,0,19,0,0,0,0,0,0,0,0,0,19
standing_free,0,0,13,2,1,2,0,1,2,3,1,25
standing_phone_talking,0,0,2,15,1,2,1,0,3,0,0,24
walking_cart,0,1,0,5,11,2,1,2,0,3,0,25
walking_fast,0,0,0,0,2,4,1,1,1,5,0,14
walking_phone,0,1,0,0,0,1,12,3,1,0,0,18
walking_phone_talking,0,0,1,0,1,3,3,7,2,1,1,19
walking_slow,0,0,2,0,1,6,1,0,7,1,0,18
wandering,0,1,3,3,1,2,3,2,7,8,0,30
window_shopping,0,0,0,0,0,0,0,1,0,1,25,27
All,13,22,21,25,21,22,23,17,23,22,27,236
