True,sitting,sitting_phone_talking,standing_free,standing_phone_talking,walking_cart,walking_fast,walking_phone,walking_phone_talking,walking_slow,wandering,window_shopping,All
sitting,15,0,2,1,2,1,1,0,1,2,0,25
sitting_phone_talking,0,34,0,0,1,0,0,0,0,0,0,35
standing_free,1,0,10,1,3,1,2,4,4,2,2,30
standing_phone_talking,0,0,3,30,0,0,1,2,0,0,0,36
walking_cart,0,0,1,2,16,6,8,2,4,1,0,40
walking_fast,0,0,1,0,5,16,4,7,5,0,1,39
walking_phone,0,0,1,1,2,2,21,1,1,1,0,30
walking_phone_talking,1,0,1,2,5,7,3,11,5,1,0,36
walking_slow,4,1,2,2,5,1,5,0,12,3,1,36
wandering,0,0,1,3,2,0,2,3,7,22,0,40
window_shopping,0,0,0,0,0,0,0,0,0,0,32,32
All,21,35,22,42,41,34,47,30,39,32,36,379
